Geração 1
1: a: 2.03, b: 5.17, fitness: 1.34
2: a: 1.99, b: 5.05, fitness: 1.36
3: a: 1.99, b: 5.00, fitness: 1.36
Geração 2
1: a: 2.04, b: 5.00, fitness: 1.29
2: a: 2.03, b: 5.17, fitness: 1.34
3: a: 1.99, b: 5.05, fitness: 1.36
Geração 3
1: a: 2.04, b: 5.00, fitness: 1.29
2: a: 2.04, b: 4.53, fitness: 1.33
3: a: 2.03, b: 5.17, fitness: 1.34
Geração 4
1: a: 2.12, b: 4.71, fitness: 1.24
2: a: 2.04, b: 5.00, fitness: 1.29
3: a: 2.04, b: 5.09, fitness: 1.32
Geração 5
1: a: 2.12, b: 4.71, fitness: 1.24
2: a: 2.12, b: 4.82, fitness: 1.27
3: a: 2.03, b: 4.87, fitness: 1.29
Geração 6
1: a: 2.10, b: 4.58, fitness: 1.21
2: a: 2.12, b: 4.71, fitness: 1.24
3: a: 2.12, b: 4.82, fitness: 1.27
Geração 7
1: a: 2.10, b: 4.58, fitness: 1.21
2: a: 2.10, b: 4.25, fitness: 1.22
3: a: 2.21, b: 4.53, fitness: 1.22
Geração 8
1: a: 2.10, b: 4.58, fitness: 1.21
2: a: 2.10, b: 4.25, fitness: 1.22
3: a: 2.21, b: 4.53, fitness: 1.22
Geração 9
1: a: 2.10, b: 4.58, fitness: 1.21
2: a: 2.10, b: 4.25, fitness: 1.22
3: a: 2.21, b: 4.53, fitness: 1.22
Geração 10
1: a: 2.16, b: 4.43, fitness: 1.19
2: a: 2.10, b: 4.58, fitness: 1.21
3: a: 2.10, b: 4.25, fitness: 1.22
